page_title,event_label,page,total_events
"FACT SHEET: Biden-Harris Administration Publishes the National Cybersecurity Strategy Implementation Plan | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/07/National-Cybersecurity-Strategy-Implementation-Plan-WH.gov_.pdf,whitehouse.gov/briefing-room/statements-releases/2023/07/13/fact-sheet-biden-harrisadministration-publishes-thenational-cybersecurity-strategyimplementation-plan/,4
"FACT SHEET: Biden-Harris Administration Takes Action to Protect Renters | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/01/White-House-Blueprint-for-a-Renters-Bill-of-Rights-1.pdf,whitehouse.gov/briefing-room/statements-releases/2023/07/27/fact-sheet-biden-harris-administration-takes-action-to-protect-renters/,4
"FACT SHEET: President Biden to Announce Strategy to Address Our National Mental Health Crisis, As Part of Unity Agenda in his First State of the Union | The White House",https://www.hhs.gov/sites/default/files/surgeon-general-youth-mental-health-advisory.pdf,whitehouse.gov/briefing-room/statements-releases/2022/03/01/fact-sheet-president-biden-to-announce-strategy-to-address-our-national-mental-health-crisis-as-part-of-unity-agenda-in-his-first-state-of-the-union/,4
"Fact Sheet: National Strategy on Gender Equity and Equality | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/10/National-Strategy-on-Gender-Equity-and-Equality.pdf,whitehouse.gov/briefing-room/statements-releases/2021/10/22/fact-sheet-national-strategy-on-gender-equity-and-equality/,4
"Fact Sheet: The Bipartisan Infrastructure Deal | The White House",https://www.moodysanalytics.com/-/media/article/2021/macroeconomic-consequences-of-the-infrastructure-investment-and-jobs-act-and-build-back-better-framework.pdf,whitehouse.gov/briefing-room/statements-releases/2021/11/06/fact-sheet-the-bipartisan-infrastructure-deal/,4
Government Use of AI - AI.gov,https://ai.gov/wp-content/uploads/2023/10/2023%20Consolidated%20AI%20Use%20Case%20Inventory%20(PUBLIC).csv,ai.gov/ai-use-cases/,4
"Guidebook to the Bipartisan Infrastructure Law | Build.gov | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/20231114-build-gov-guidebook.csv,whitehouse.gov/build/guidebook/,4
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist04z1_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,4
"In Continued Fight Against Overdose Epidemic, the White House Releases National Response Plan to Address the Emerging Threat of Fentanyl Combined with Xylazine | ONDCP | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/07/FENTANYL-ADULTERATED-OR-ASSOCIATED-WITH-XYLAZINE-EMERGING-THREAT-RESPONSE-PLAN-Report-July-2023.pdf,whitehouse.gov/ondcp/briefing-room/2023/07/11/in-continued-fight-against-overdose-epidemic-the-white-house-releases-national-response-plan-to-address-the-emerging-threat-of-fentanyl-combined-with-xylazine/,4
"Interim National Security Strategic Guidance | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/03/NSC-1v2.pdf,whitehouse.gov/briefing-room/statements-releases/2021/03/03/interim-national-security-strategic-guidance/,4
"National COVID-19 Preparedness Plan | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/03/NAT-COVID-19-PREPAREDNESS-PLAN.pdf,whitehouse.gov/covidplan/,4
National Quantum Initiative,https://www.quantum.gov/wp-content/uploads/2020/10/2018_NSTC_National_Strategic_Overview_QIS.pdf,quantum.gov/,4
National Quantum Strategy - National Quantum Initiative,https://www.quantum.gov/wp-content/uploads/2020/10/2018_NSTC_National_Strategic_Overview_QIS.pdf,quantum.gov/strategy/,4
