date,page_title,event_label,file_name,page,total_events
2024-01-04,Campgrounds - Mount Rainier National Park (U.S. National Park Service),file_download,/mora/planyourvisit/upload/CougarRock2006.pdf,www.nps.gov/mora/planyourvisit/campgrounds.htm,33
2024-01-04,"NPS: Explore Nature » Air Resources » Air Quality Webcams » Yosemite National Park, View from Turtleback Dome",file_download,/features/ard/webcams/webcam_lg.jpg,www.nps.gov/features/ard/webcams/webcam2.html,33
2024-01-04,"National Wetland Inventory Wetlands and Deepwater Map Code Diagram | FWS.gov",file_download,/sites/default/files/documents/wetlands-and-deepwater-map-code-diagram.pdf,www.fws.gov/media/national-wetland-inventory-wetlands-and-deepwater-map-code-diagram,33
2024-01-04,Trail Descriptions - Yosemite National Park (U.S. National Park Service),file_download,/yose/planyourvisit/upload/trailheads.pdf,www.nps.gov/yose/planyourvisit/trails.htm,33
2024-01-04,"Web Informatics and Mapping (WIM) is hiring! | U.S. Geological Survey",file_download,/assets/palladium/production/s3fs-public/media/files/web%20accessibility.pdf,www.usgs.gov/centers/upper-midwest-water-science-center/web-informatics-and-mapping-wim-hiring,33
2024-01-04,Maps - Big Bend National Park (U.S. National Park Service),file_download,/bibe/planyourvisit/upload/Big-Bend-area-map.jpg,www.nps.gov/bibe/planyourvisit/maps.htm,32
2024-01-04,"NPS: Explore Nature » Air Resources » Air Quality Webcams » Great Smoky Mountains National Park, View from the Purchase",file_download,/features/ard/webcams/webcam_lg.jpg,www.nps.gov/features/ard/webcams/webcam1.html,32
2024-01-04,Wilderness Permits - Yosemite National Park (U.S. National Park Service),file_download,/yose/planyourvisit/upload/wildernesstrailheads.pdf,www.nps.gov/yose/planyourvisit/wildpermits.htm,32
2024-01-04,Wilderness Trip Planner - North Cascades National Park (U.S. National Park Service),file_download,/noca/planyourvisit/upload/NOCA_Wilderness_Trip_Planner-Compliant_508_for-web_508-2.pdf,www.nps.gov/noca/planyourvisit/wilderness-trip-planner.htm,32
2024-01-04,Maps - Shenandoah National Park (U.S. National Park Service),file_download,/shen/planyourvisit/upload/English_SNP_web.pdf,www.nps.gov/shen/planyourvisit/maps.htm,31
2024-01-04,mazama_campground - Crater Lake National Park (U.S. National Park Service),file_download,/crla/planyourvisit/upload/Mazama-CG-Map-v2.jpg,www.nps.gov/crla/planyourvisit/mazama_campground.htm,31
2024-01-04,Big Meadows Campground - Shenandoah National Park (U.S. National Park Service),file_download,/shen/planyourvisit/upload/BigMeadows_CampgroundMap_web.pdf,www.nps.gov/shen/planyourvisit/big-meadows-campground.htm,30
2024-01-04,"Dale Bumpers White River NWR Public Use Regulations Brochure | FWS.gov",file_download,/sites/default/files/documents/dbwhite%20river%20nwr%20public%20use%2023-24_1.pdf,www.fws.gov/media/dale-bumpers-white-river-nwr-public-use-regulations-brochure,30
2024-01-04,"Ducks at a Distance: A Waterfowl Identification Guide | FWS.gov",file_download,/sites/default/files/documents/ducks%20at%20a%20distance-ocr.pdf,www.fws.gov/media/ducks-distance-waterfowl-identification-guide,30
2024-01-04,"Geologic Time Scale | U.S. Geological Survey",file_download,/assets/palladium/production/s3fs-public/vhp_img3232.gif,www.usgs.gov/media/images/geologic-time-scale,30
2024-01-04,"Human Resources Serving Employees in the Regions | U.S. Geological Survey",file_download,/assets/palladium/production/s3fs-public/media/files/servicing-assignments-regions-oct2023.pdf,www.usgs.gov/media/files/human-resources-serving-employees-regions,30
2024-01-04,"List of Birds Protected by the Migratory Bird Treaty Act (2023) | FWS.gov",file_download,/sites/default/files/documents/cfr50-part10.13-2023.xlsx,www.fws.gov/media/list-birds-protected-migratory-bird-treaty-act-2023,30
2024-01-04,Budget (U.S. National Park Service),file_download,/sites/doi.gov/files/fy2024-nps-greenbook.pdf-508.pdf,www.nps.gov/aboutus/budget.htm,29
2024-01-04,"Mineral commodity summaries 2023 | U.S. Geological Survey",file_download,/periodicals/mcs2023/mcs2023.pdf,www.usgs.gov/publications/mineral-commodity-summaries-2023,29
2024-01-04,"NPS: Explore Nature » Air Resources » Air Quality Webcams » Great Smoky Mountains National Park, View from Clingmans Dome",file_download,/features/ard/webcams/webcam_lg.jpg,www.nps.gov/features/ard/webcams/webcam1.html,29
