date,os,visits
2023-10-17,Firefox OS,131
2023-10-17,Playstation 4,109
2023-10-16,Windows,1461886
2023-10-16,iOS,872515
2023-10-16,Android,620669
2023-10-16,Macintosh,494546
2023-10-16,Chrome OS,148265
2023-10-16,Linux,107329
2023-10-16,(not set),1256
2023-10-16,Tizen,538
2023-10-16,OS/2,266
2023-10-16,Firefox OS,174
2023-10-16,Playstation 4,128
2023-10-16,Fuchsia,119
2023-10-15,iOS,873157
2023-10-15,Windows,794135
2023-10-15,Android,611965
2023-10-15,Macintosh,407134
2023-10-15,Linux,93909
2023-10-15,Chrome OS,88110
2023-10-15,(not set),1641
2023-10-15,Tizen,527
2023-10-15,OS/2,291
2023-10-15,Firefox OS,148
2023-10-15,Playstation 4,147
2023-10-15,Fuchsia,127
